#n_t	n_stim	nh	Tstim	LPW	Stot	Snoise	Ibin	Ikern
1.000000000000000000e+01 1.660000000000000000e+02 1.000000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.233766192475186152e+00 2.095291407190627897e+00 5.138474785284557811e+00 6.680781019955708722e+00
1.200000000000000000e+01 1.660000000000000000e+02 1.200000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.232150456812735051e+00 2.144219265513541028e+00 5.087931191299194467e+00 6.652888605976825964e+00
1.400000000000000000e+01 1.660000000000000000e+02 1.400000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.226253953812816988e+00 2.191624594492947331e+00 5.034629359319869657e+00 6.597587528634315746e+00
1.600000000000000000e+01 1.660000000000000000e+02 1.600000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.222102250271685620e+00 2.244687689407852460e+00 4.977414560863833159e+00 6.572289782287107585e+00
1.800000000000000000e+01 1.660000000000000000e+02 1.800000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.208153914433747644e+00 2.308300347314482082e+00 4.899853567119265563e+00 6.532495073684184916e+00
2.000000000000000000e+01 1.660000000000000000e+02 2.000000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.198429370210222444e+00 2.336871984941701008e+00 4.861557385268521436e+00 6.477851672946516537e+00
2.200000000000000000e+01 1.660000000000000000e+02 2.200000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.203465515841983802e+00 2.350450718137678585e+00 4.853014797704305217e+00 6.478588831143080817e+00
2.400000000000000000e+01 1.660000000000000000e+02 2.400000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.185718650877956470e+00 2.396714053827142976e+00 4.789004597050813494e+00 6.442913946016020077e+00
2.600000000000000000e+01 1.660000000000000000e+02 2.600000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.171834003672300284e+00 2.442493704008398936e+00 4.729340299663901348e+00 6.384484650320691124e+00
2.800000000000000000e+01 1.660000000000000000e+02 2.800000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.159121457381732334e+00 2.477758606986561141e+00 4.681362850395171193e+00 6.354830468759423923e+00
3.000000000000000000e+01 1.660000000000000000e+02 3.000000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.171319735130700757e+00 2.507772562919656334e+00 4.663547172211044867e+00 6.362322406471731639e+00
3.200000000000000000e+01 1.660000000000000000e+02 3.200000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.163994274523545869e+00 2.518192917685012411e+00 4.645801356838533458e+00 6.333834479804481887e+00
3.400000000000000000e+01 1.660000000000000000e+02 3.400000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.145442308498930473e+00 2.519550187744166614e+00 4.625892120754763859e+00 6.323477279449760680e+00
3.600000000000000000e+01 1.660000000000000000e+02 3.600000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.147862837113128975e+00 2.528968156026135450e+00 4.618894681086993970e+00 6.306429660976231588e+00
3.800000000000000000e+01 1.660000000000000000e+02 3.800000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.144203239711527154e+00 2.544225643250881852e+00 4.599977596460645302e+00 6.287603734874905648e+00
4.000000000000000000e+01 1.660000000000000000e+02 4.000000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.146172078587880172e+00 2.557273565872888010e+00 4.588898512714992606e+00 6.301603450725361100e+00
4.200000000000000000e+01 1.660000000000000000e+02 4.200000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.135647101536613413e+00 2.556102065282011448e+00 4.579545036254602408e+00 6.286294690725709344e+00
4.400000000000000000e+01 1.660000000000000000e+02 4.400000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.146324742839198940e+00 2.578277406236660685e+00 4.568047336602537811e+00 6.273609388299528966e+00
4.600000000000000000e+01 1.660000000000000000e+02 4.600000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.145098859639597677e+00 2.578126628879255033e+00 4.566972230760342200e+00 6.268177741182232587e+00
4.800000000000000000e+01 1.660000000000000000e+02 4.800000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.143234745418022058e+00 2.589891699114697854e+00 4.553343046303323760e+00 6.259038835265684497e+00
5.000000000000000000e+01 1.660000000000000000e+02 5.000000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.141724975276896537e+00 2.595196855464886543e+00 4.546528119812009550e+00 6.269107406303348284e+00
5.200000000000000000e+01 1.660000000000000000e+02 5.200000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.139342297609578836e+00 2.598829196093143334e+00 4.540513101516435057e+00 6.246988175831418744e+00
5.400000000000000000e+01 1.660000000000000000e+02 5.400000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.132382245253419129e+00 2.594207788496497802e+00 4.538174456756921771e+00 6.237442352571219928e+00
5.600000000000000000e+01 1.660000000000000000e+02 5.600000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.126220960756148415e+00 2.601275100147236063e+00 4.524945860608912795e+00 6.240062535910658070e+00
5.800000000000000000e+01 1.660000000000000000e+02 5.800000000000000000e+01 3.012048192771084321e-02 1.000000000000000000e+01 7.125384194410914418e+00 2.605930343609213384e+00 4.519453850801701478e+00 6.239562057020493491e+00
